 format: day,hour,forecast,value  location:53_114 Start : 20180101 
 5,0200,+25,65.000000 
 5,0200,+28,60.000000 
 5,0200,+31,65.000000 
 5,0200,+34,75.000000 
 5,0200,+37,80.000000 
 5,0200,+40,80.000000 
 5,0200,+43,95.000000 
 5,0200,+46,85.000000 
 5,0200,+49,60.000000 
 5,0200,+52,50.000000 
 5,0200,+55,65.000000 
 5,0200,+58,70.000000 
 5,0200,+61,80.000000 
 5,0500,+4,70.000000 
 5,0500,+7,70.000000 
 5,0500,+10,70.000000 
 5,0500,+13,70.000000 
 5,0500,+16,70.000000 
 5,0500,+19,75.000000 
 5,0500,+22,65.000000 
 5,0500,+25,60.000000 
 5,0500,+28,65.000000 
 5,0500,+31,75.000000 
 5,0500,+34,80.000000 
 5,0500,+37,80.000000 
 5,0500,+40,95.000000 
 5,0500,+43,85.000000 
 5,0500,+46,60.000000 
 5,0500,+49,50.000000 
 5,0500,+52,65.000000 
 5,0500,+55,70.000000 
 5,0500,+58,80.000000 
 5,0800,+4,70.000000 
 5,0800,+7,70.000000 
 5,0800,+10,70.000000 
 5,0800,+13,70.000000 
 5,0800,+16,75.000000 
 5,0800,+19,65.000000 
 5,0800,+22,55.000000 
 5,0800,+25,65.000000 
 5,0800,+28,75.000000 
 5,0800,+31,75.000000 
 5,0800,+34,80.000000 
 5,0800,+37,90.000000 
 5,0800,+40,85.000000 
 5,0800,+43,60.000000 
 5,0800,+46,50.000000 
 5,0800,+49,65.000000 
 5,0800,+52,65.000000 
 5,0800,+55,75.000000 
 5,1100,+4,70.000000 
 5,1100,+7,70.000000 
 5,1100,+10,70.000000 
 5,1100,+13,75.000000 
 5,1100,+16,65.000000 
 5,1100,+19,55.000000 
 5,1100,+22,65.000000 
 5,1100,+25,75.000000 
 5,1100,+28,75.000000 
 5,1100,+31,80.000000 
 5,1100,+34,90.000000 
 5,1100,+37,85.000000 
 5,1100,+40,60.000000 
 5,1100,+43,50.000000 
 5,1100,+46,65.000000 
 5,1100,+49,65.000000 
 5,1100,+52,75.000000 
 5,1400,+4,70.000000 
 5,1400,+7,70.000000 
 5,1400,+10,75.000000 
 5,1400,+13,65.000000 
 5,1400,+16,55.000000 
 5,1400,+19,65.000000 
 5,1400,+22,75.000000 
 5,1400,+25,75.000000 
 5,1400,+28,80.000000 
 5,1400,+31,90.000000 
 5,1400,+34,85.000000 
 5,1400,+37,60.000000 
 5,1400,+40,50.000000 
 5,1400,+43,65.000000 
 5,1400,+46,65.000000 
 5,1400,+49,75.000000 
 5,1700,+4,70.000000 
 5,1700,+7,75.000000 
 5,1700,+10,65.000000 
 5,1700,+13,55.000000 
 5,1700,+16,65.000000 
 5,1700,+19,75.000000 
 5,1700,+22,75.000000 
 5,1700,+25,80.000000 
 5,1700,+28,90.000000 
 5,1700,+31,85.000000 
 5,1700,+34,60.000000 
 5,1700,+37,50.000000 
 5,1700,+40,65.000000 
 5,1700,+43,65.000000 
 5,1700,+46,75.000000 
 5,2000,+4,75.000000 
 5,2000,+7,60.000000 
 5,2000,+10,60.000000 
 5,2000,+13,65.000000 
 5,2000,+16,70.000000 
 5,2000,+19,80.000000 
 5,2000,+22,80.000000 
 5,2000,+25,85.000000 
 5,2000,+28,85.000000 
 5,2000,+31,55.000000 
 5,2000,+34,50.000000 
 5,2000,+37,65.000000 
 5,2000,+40,65.000000 
 5,2000,+43,75.000000 
 5,2000,+46,85.000000 
 5,2000,+49,95.000000 
 5,2000,+52,85.000000 
 5,2000,+55,70.000000 
 5,2000,+58,65.000000 
 5,2000,+61,80.000000 
 5,2000,+64,85.000000 
 5,2000,+67,75.000000 
 5,2300,+4,60.000000 
 5,2300,+7,60.000000 
 5,2300,+10,65.000000 
 5,2300,+13,70.000000 
 5,2300,+16,80.000000 
 5,2300,+19,80.000000 
 5,2300,+22,85.000000 
 5,2300,+25,85.000000 
 5,2300,+28,55.000000 
 5,2300,+31,50.000000 
 5,2300,+34,65.000000 
 5,2300,+37,65.000000 
 5,2300,+40,75.000000 
 5,2300,+43,85.000000 
 5,2300,+46,95.000000 
 5,2300,+49,85.000000 
 5,2300,+52,70.000000 
 5,2300,+55,65.000000 
 5,2300,+58,80.000000 
 5,2300,+61,85.000000 
 5,2300,+64,75.000000 
 6,0200,+4,60.000000 
 6,0200,+7,65.000000 
 6,0200,+10,70.000000 
 6,0200,+13,80.000000 
 6,0200,+16,80.000000 
 6,0200,+19,85.000000 
 6,0200,+22,85.000000 
 6,0200,+25,55.000000 
 6,0200,+28,50.000000 
 6,0200,+31,65.000000 
 6,0200,+34,65.000000 
 6,0200,+37,75.000000 
 6,0200,+40,85.000000 
 6,0200,+43,95.000000 
 6,0200,+46,85.000000 
 6,0200,+49,70.000000 
 6,0200,+52,65.000000 
 6,0200,+55,80.000000 
 6,0200,+58,85.000000 
 6,0200,+61,75.000000 
 6,0500,+4,65.000000 
 6,0500,+7,70.000000 
 6,0500,+10,80.000000 
 6,0500,+13,80.000000 
 6,0500,+16,85.000000 
 6,0500,+19,85.000000 
 6,0500,+22,55.000000 
 6,0500,+25,50.000000 
 6,0500,+28,65.000000 
 6,0500,+31,65.000000 
 6,0500,+34,75.000000 
 6,0500,+37,85.000000 
 6,0500,+40,95.000000 
 6,0500,+43,85.000000 
 6,0500,+46,70.000000 
 6,0500,+49,65.000000 
 6,0500,+52,80.000000 
 6,0500,+55,85.000000 
 6,0500,+58,75.000000 
 6,0800,+4,75.000000 
 6,0800,+7,80.000000 
 6,0800,+10,80.000000 
 6,0800,+13,85.000000 
 6,0800,+16,80.000000 
 6,0800,+19,55.000000 
 6,0800,+22,50.000000 
 6,0800,+25,65.000000 
 6,0800,+28,70.000000 
 6,0800,+31,75.000000 
 6,0800,+34,75.000000 
 6,0800,+37,85.000000 
 6,0800,+40,80.000000 
 6,0800,+43,55.000000 
 6,0800,+46,55.000000 
 6,0800,+49,75.000000 
 6,0800,+52,85.000000 
 6,0800,+55,75.000000 
 6,1100,+4,80.000000 
 6,1100,+7,80.000000 
 6,1100,+10,85.000000 
 6,1100,+13,80.000000 
 6,1100,+16,55.000000 
 6,1100,+19,50.000000 
 6,1100,+22,65.000000 
 6,1100,+25,70.000000 
 6,1100,+28,75.000000 
 6,1100,+31,75.000000 
 6,1100,+34,85.000000 
 6,1100,+37,80.000000 
 6,1100,+40,55.000000 
 6,1100,+43,55.000000 
 6,1100,+46,75.000000 
 6,1100,+49,85.000000 
 6,1100,+52,75.000000 
 6,1400,+4,80.000000 
 6,1400,+7,85.000000 
 6,1400,+10,80.000000 
 6,1400,+13,55.000000 
 6,1400,+16,50.000000 
 6,1400,+19,65.000000 
 6,1400,+22,70.000000 
 6,1400,+25,75.000000 
 6,1400,+28,75.000000 
 6,1400,+31,85.000000 
 6,1400,+34,80.000000 
 6,1400,+37,55.000000 
 6,1400,+40,55.000000 
 6,1400,+43,75.000000 
 6,1400,+46,85.000000 
 6,1400,+49,75.000000 
 6,1700,+4,85.000000 
 6,1700,+7,80.000000 
 6,1700,+10,55.000000 
 6,1700,+13,50.000000 
 6,1700,+16,65.000000 
 6,1700,+19,70.000000 
 6,1700,+22,75.000000 
 6,1700,+25,75.000000 
 6,1700,+28,85.000000 
 6,1700,+31,80.000000 
 6,1700,+34,55.000000 
 6,1700,+37,55.000000 
 6,1700,+40,75.000000 
 6,1700,+43,85.000000 
 6,1700,+46,75.000000 
 6,2000,+4,75.000000 
 6,2000,+7,55.000000 
 6,2000,+10,50.000000 
 6,2000,+13,65.000000 
 6,2000,+16,70.000000 
 6,2000,+19,75.000000 
 6,2000,+22,75.000000 
 6,2000,+25,75.000000 
 6,2000,+28,80.000000 
 6,2000,+31,60.000000 
 6,2000,+34,60.000000 
 6,2000,+37,75.000000 
 6,2000,+40,90.000000 
 6,2000,+43,75.000000 
 6,2000,+46,70.000000 
 6,2000,+49,70.000000 
 6,2000,+52,65.000000 
 6,2000,+55,65.000000 
 6,2000,+58,65.000000 
 6,2000,+61,70.000000 
 6,2000,+64,80.000000 
 6,2000,+67,85.000000 
 6,2300,+4,55.000000 
 6,2300,+7,50.000000 
 6,2300,+10,65.000000 
 6,2300,+13,70.000000 
 6,2300,+16,75.000000 
 6,2300,+19,75.000000 
 6,2300,+22,75.000000 
 6,2300,+25,80.000000 
 6,2300,+28,60.000000 
 6,2300,+31,60.000000 
 6,2300,+34,75.000000 
 6,2300,+37,90.000000 
 6,2300,+40,75.000000 
 6,2300,+43,70.000000 
 6,2300,+46,70.000000 
 6,2300,+49,65.000000 
 6,2300,+52,65.000000 
 6,2300,+55,65.000000 
 6,2300,+58,70.000000 
 6,2300,+61,80.000000 
 6,2300,+64,85.000000 
 7,0200,+4,50.000000 
 7,0200,+7,65.000000 
 7,0200,+10,70.000000 
 7,0200,+13,75.000000 
 7,0200,+16,75.000000 
 7,0200,+19,75.000000 
 7,0200,+22,80.000000 
 7,0200,+25,60.000000 
 7,0200,+28,60.000000 
 7,0200,+31,75.000000 
 7,0200,+34,90.000000 
 7,0200,+37,75.000000 
 7,0200,+40,70.000000 
 7,0200,+43,70.000000 
 7,0200,+46,65.000000 
 7,0200,+49,65.000000 
 7,0200,+52,65.000000 
 7,0200,+55,70.000000 
 7,0200,+58,80.000000 
 7,0200,+61,85.000000 
 7,0500,+4,65.000000 
 7,0500,+7,70.000000 
 7,0500,+10,75.000000 
 7,0500,+13,75.000000 
 7,0500,+16,75.000000 
 7,0500,+19,80.000000 
 7,0500,+22,60.000000 
 7,0500,+25,60.000000 
 7,0500,+28,75.000000 
 7,0500,+31,90.000000 
 7,0500,+34,75.000000 
 7,0500,+37,70.000000 
 7,0500,+40,70.000000 
 7,0500,+43,65.000000 
 7,0500,+46,65.000000 
 7,0500,+49,65.000000 
 7,0500,+52,70.000000 
