 format: day,hour,forecast,value  location:53_114 Start : 20180101 
 2,0500,+52,15.000000 
 2,0500,+55,52.000000 
 2,0500,+58,60.000000 
 2,0800,+4,337.000000 
 2,0800,+7,337.000000 
 2,0800,+10,336.000000 
 2,0800,+13,340.000000 
 2,0800,+16,341.000000 
 2,0800,+19,337.000000 
 2,0800,+22,333.000000 
 2,0800,+25,330.000000 
 2,0800,+28,337.000000 
 2,0800,+31,342.000000 
 2,0800,+34,342.000000 
 2,0800,+37,346.000000 
 2,0800,+40,342.000000 
 2,0800,+43,341.000000 
 2,0800,+46,353.000000 
 2,0800,+49,19.000000 
 2,0800,+52,51.000000 
 2,0800,+55,55.000000 
 2,1100,+4,337.000000 
 2,1100,+7,336.000000 
 2,1100,+10,340.000000 
 2,1100,+13,341.000000 
 2,1100,+16,337.000000 
 2,1100,+19,333.000000 
 2,1100,+22,330.000000 
 2,1100,+25,337.000000 
 2,1100,+28,342.000000 
 2,1100,+31,342.000000 
 2,1100,+34,346.000000 
 2,1100,+37,342.000000 
 2,1100,+40,341.000000 
 2,1100,+43,353.000000 
 2,1100,+46,19.000000 
 2,1100,+49,51.000000 
 2,1100,+52,55.000000 
 2,1400,+4,336.000000 
 2,1400,+7,340.000000 
 2,1400,+10,341.000000 
 2,1400,+13,337.000000 
 2,1400,+16,333.000000 
 2,1400,+19,330.000000 
 2,1400,+22,337.000000 
 2,1400,+25,342.000000 
 2,1400,+28,342.000000 
 2,1400,+31,346.000000 
 2,1400,+34,342.000000 
 2,1400,+37,341.000000 
 2,1400,+40,353.000000 
 2,1400,+43,19.000000 
 2,1400,+46,51.000000 
 2,1400,+49,55.000000 
 2,1700,+4,340.000000 
 2,1700,+7,341.000000 
 2,1700,+10,337.000000 
 2,1700,+13,333.000000 
 2,1700,+16,330.000000 
 2,1700,+19,337.000000 
 2,1700,+22,342.000000 
 2,1700,+25,342.000000 
 2,1700,+28,346.000000 
 2,1700,+31,342.000000 
 2,1700,+34,341.000000 
 2,1700,+37,353.000000 
 2,1700,+40,19.000000 
 2,1700,+43,51.000000 
 2,1700,+46,55.000000 
 2,2000,+4,337.000000 
 2,2000,+7,338.000000 
 2,2000,+10,330.000000 
 2,2000,+13,337.000000 
 2,2000,+16,347.000000 
 2,2000,+19,345.000000 
 2,2000,+22,344.000000 
 2,2000,+25,347.000000 
 2,2000,+28,343.000000 
 2,2000,+31,343.000000 
 2,2000,+34,2.000000 
 2,2000,+37,17.000000 
 2,2000,+40,30.000000 
 2,2000,+43,66.000000 
 2,2000,+46,360.000000 
 2,2000,+49,337.000000 
 2,2000,+52,337.000000 
 2,2000,+55,314.000000 
 2,2000,+58,316.000000 
 2,2000,+61,313.000000 
 2,2000,+64,324.000000 
 2,2000,+67,326.000000 
 2,2300,+4,338.000000 
 2,2300,+7,330.000000 
 2,2300,+10,337.000000 
 2,2300,+13,347.000000 
 2,2300,+16,345.000000 
 2,2300,+19,344.000000 
 2,2300,+22,347.000000 
 2,2300,+25,343.000000 
 2,2300,+28,343.000000 
 2,2300,+31,2.000000 
 2,2300,+34,17.000000 
 2,2300,+37,30.000000 
 2,2300,+40,66.000000 
 2,2300,+43,360.000000 
 2,2300,+46,337.000000 
 2,2300,+49,337.000000 
 2,2300,+52,314.000000 
 2,2300,+55,316.000000 
 2,2300,+58,313.000000 
 2,2300,+61,324.000000 
 2,2300,+64,326.000000 
 3,0200,+4,330.000000 
 3,0200,+7,337.000000 
 3,0200,+10,347.000000 
 3,0200,+13,345.000000 
 3,0200,+16,344.000000 
 3,0200,+19,347.000000 
 3,0200,+22,343.000000 
 3,0200,+25,343.000000 
 3,0200,+28,2.000000 
 3,0200,+31,17.000000 
 3,0200,+34,30.000000 
 3,0200,+37,66.000000 
 3,0200,+40,360.000000 
 3,0200,+43,337.000000 
 3,0200,+46,337.000000 
 3,0200,+49,314.000000 
 3,0200,+52,316.000000 
 3,0200,+55,313.000000 
 3,0200,+58,324.000000 
 3,0200,+61,326.000000 
 3,0500,+4,337.000000 
 3,0500,+7,347.000000 
 3,0500,+10,345.000000 
 3,0500,+13,344.000000 
 3,0500,+16,347.000000 
 3,0500,+19,343.000000 
 3,0500,+22,343.000000 
 3,0500,+25,2.000000 
 3,0500,+28,17.000000 
 3,0500,+31,30.000000 
 3,0500,+34,66.000000 
 3,0500,+37,360.000000 
 3,0500,+40,337.000000 
 3,0500,+43,337.000000 
 3,0500,+46,314.000000 
 3,0500,+49,316.000000 
 3,0500,+52,313.000000 
 3,0500,+55,324.000000 
 3,0500,+58,326.000000 
 3,0800,+4,340.000000 
 3,0800,+7,339.000000 
 3,0800,+10,342.000000 
 3,0800,+13,341.000000 
 3,0800,+16,346.000000 
 3,0800,+19,349.000000 
 3,0800,+22,349.000000 
 3,0800,+25,4.000000 
 3,0800,+28,28.000000 
 3,0800,+31,34.000000 
 3,0800,+34,351.000000 
 3,0800,+37,323.000000 
 3,0800,+40,308.000000 
 3,0800,+43,320.000000 
 3,0800,+46,317.000000 
 3,0800,+49,314.000000 
 3,0800,+52,323.000000 
 3,0800,+55,322.000000 
 3,1100,+4,339.000000 
 3,1100,+7,342.000000 
 3,1100,+10,341.000000 
 3,1100,+13,346.000000 
 3,1100,+16,349.000000 
 3,1100,+19,349.000000 
 3,1100,+22,4.000000 
 3,1100,+25,28.000000 
 3,1100,+28,34.000000 
 3,1100,+31,351.000000 
 3,1100,+34,323.000000 
 3,1100,+37,308.000000 
 3,1100,+40,320.000000 
 3,1100,+43,317.000000 
 3,1100,+46,314.000000 
 3,1100,+49,323.000000 
 3,1100,+52,322.000000 
 3,1400,+4,342.000000 
 3,1400,+7,341.000000 
 3,1400,+10,346.000000 
 3,1400,+13,349.000000 
 3,1400,+16,349.000000 
 3,1400,+19,4.000000 
 3,1400,+22,28.000000 
 3,1400,+25,34.000000 
 3,1400,+28,351.000000 
 3,1400,+31,323.000000 
 3,1400,+34,308.000000 
 3,1400,+37,320.000000 
 3,1400,+40,317.000000 
 3,1400,+43,314.000000 
 3,1400,+46,323.000000 
 3,1400,+49,322.000000 
 3,1700,+4,341.000000 
 3,1700,+7,346.000000 
 3,1700,+10,349.000000 
 3,1700,+13,349.000000 
 3,1700,+16,4.000000 
 3,1700,+19,28.000000 
 3,1700,+22,34.000000 
 3,1700,+25,351.000000 
 3,1700,+28,323.000000 
 3,1700,+31,308.000000 
 3,1700,+34,320.000000 
 3,1700,+37,317.000000 
 3,1700,+40,314.000000 
 3,1700,+43,323.000000 
 3,1700,+46,322.000000 
 3,2000,+4,347.000000 
 3,2000,+7,343.000000 
 3,2000,+10,352.000000 
 3,2000,+13,353.000000 
 3,2000,+16,19.000000 
 3,2000,+19,354.000000 
 3,2000,+22,319.000000 
 3,2000,+25,317.000000 
 3,2000,+28,303.000000 
 3,2000,+31,319.000000 
 3,2000,+34,314.000000 
 3,2000,+37,318.000000 
 3,2000,+40,324.000000 
 3,2000,+43,331.000000 
 3,2000,+46,327.000000 
 3,2000,+49,329.000000 
 3,2000,+52,333.000000 
 3,2000,+55,321.000000 
 3,2000,+58,328.000000 
 3,2000,+61,328.000000 
 3,2000,+64,332.000000 
 3,2000,+67,321.000000 
 3,2300,+4,343.000000 
 3,2300,+7,352.000000 
 3,2300,+10,353.000000 
 3,2300,+13,19.000000 
 3,2300,+16,354.000000 
 3,2300,+19,319.000000 
 3,2300,+22,317.000000 
 3,2300,+25,303.000000 
 3,2300,+28,319.000000 
 3,2300,+31,314.000000 
 3,2300,+34,318.000000 
 3,2300,+37,324.000000 
 3,2300,+40,331.000000 
 3,2300,+43,327.000000 
 3,2300,+46,329.000000 
 3,2300,+49,333.000000 
 3,2300,+52,321.000000 
 3,2300,+55,328.000000 
 3,2300,+58,328.000000 
 3,2300,+61,332.000000 
 3,2300,+64,321.000000 
 4,0200,+4,352.000000 
 4,0200,+7,353.000000 
 4,0200,+10,19.000000 
 4,0200,+13,354.000000 
 4,0200,+16,319.000000 
 4,0200,+19,317.000000 
 4,0200,+22,303.000000 
 4,0200,+25,319.000000 
 4,0200,+28,314.000000 
 4,0200,+31,318.000000 
 4,0200,+34,324.000000 
 4,0200,+37,331.000000 
 4,0200,+40,327.000000 
 4,0200,+43,329.000000 
 4,0200,+46,333.000000 
 4,0200,+49,321.000000 
 4,0200,+52,328.000000 
 4,0200,+55,328.000000 
 4,0200,+58,332.000000 
 4,0200,+61,321.000000 
 4,0500,+4,353.000000 
 4,0500,+7,19.000000 
 4,0500,+10,354.000000 
 4,0500,+13,319.000000 
 4,0500,+16,317.000000 
 4,0500,+19,303.000000 
 4,0500,+22,319.000000 
 4,0500,+25,314.000000 
 4,0500,+28,318.000000 
 4,0500,+31,324.000000 
 4,0500,+34,331.000000 
 4,0500,+37,327.000000 
 4,0500,+40,329.000000 
 4,0500,+43,333.000000 
 4,0500,+46,321.000000 
 4,0500,+49,328.000000 
 4,0500,+52,328.000000 
 4,0500,+55,332.000000 
 4,0500,+58,321.000000 
 4,0800,+4,61.000000 
 4,0800,+7,352.000000 
 4,0800,+10,318.000000 
 4,0800,+13,318.000000 
 4,0800,+16,314.000000 
 4,0800,+19,323.000000 
 4,0800,+22,316.000000 
 4,0800,+25,321.000000 
 4,0800,+28,323.000000 
 4,0800,+31,332.000000 
 4,0800,+34,326.000000 
 4,0800,+37,326.000000 
 4,0800,+40,330.000000 
 4,0800,+43,320.000000 
 4,0800,+46,320.000000 
 4,0800,+49,333.000000 
 4,0800,+52,339.000000 
 4,0800,+55,328.000000 
 4,1100,+4,352.000000 
 4,1100,+7,318.000000 
 4,1100,+10,318.000000 
 4,1100,+13,314.000000 
 4,1100,+16,323.000000 
 4,1100,+19,316.000000 
 4,1100,+22,321.000000 
 4,1100,+25,323.000000 
 4,1100,+28,332.000000 
 4,1100,+31,326.000000 
 4,1100,+34,326.000000 
 4,1100,+37,330.000000 
 4,1100,+40,320.000000 
 4,1100,+43,320.000000 
 4,1100,+46,333.000000 
 4,1100,+49,339.000000 
 4,1100,+52,328.000000 
 4,1400,+4,318.000000 
 4,1400,+7,318.000000 
 4,1400,+10,314.000000 
 4,1400,+13,323.000000 
 4,1400,+16,316.000000 
 4,1400,+19,321.000000 
 4,1400,+22,323.000000 
 4,1400,+25,332.000000 
 4,1400,+28,326.000000 
 4,1400,+31,326.000000 
 4,1400,+34,330.000000 
 4,1400,+37,320.000000 
 4,1400,+40,320.000000 
 4,1400,+43,333.000000 
 4,1400,+46,339.000000 
 4,1400,+49,328.000000 
 4,1700,+4,318.000000 
 4,1700,+7,314.000000 
 4,1700,+10,323.000000 
 4,1700,+13,316.000000 
 4,1700,+16,321.000000 
 4,1700,+19,323.000000 
 4,1700,+22,332.000000 
 4,1700,+25,326.000000 
 4,1700,+28,326.000000 
 4,1700,+31,330.000000 
 4,1700,+34,320.000000 
 4,1700,+37,320.000000 
 4,1700,+40,333.000000 
 4,1700,+43,339.000000 
 4,1700,+46,328.000000 
 4,2000,+4,285.000000 
 4,2000,+7,314.000000 
 4,2000,+10,314.000000 
 4,2000,+13,320.000000 
 4,2000,+16,328.000000 
 4,2000,+19,331.000000 
 4,2000,+22,328.000000 
 4,2000,+25,322.000000 
 4,2000,+28,325.000000 
 4,2000,+31,334.000000 
 4,2000,+34,323.000000 
 4,2000,+37,325.000000 
 4,2000,+40,342.000000 
 4,2000,+43,329.000000 
 4,2000,+46,343.000000 
 4,2000,+49,25.000000 
 4,2000,+52,66.000000 
 4,2000,+55,178.000000 
 4,2000,+58,285.000000 
 4,2000,+61,351.000000 
 4,2000,+64,78.000000 
 4,2000,+67,101.000000 
 4,2300,+4,314.000000 
 4,2300,+7,314.000000 
 4,2300,+10,320.000000 
 4,2300,+13,328.000000 
 4,2300,+16,331.000000 
 4,2300,+19,328.000000 
 4,2300,+22,322.000000 
 4,2300,+25,325.000000 
 4,2300,+28,334.000000 
 4,2300,+31,323.000000 
 4,2300,+34,325.000000 
 4,2300,+37,342.000000 
 4,2300,+40,329.000000 
 4,2300,+43,343.000000 
 4,2300,+46,25.000000 
 4,2300,+49,66.000000 
 4,2300,+52,178.000000 
 4,2300,+55,285.000000 
 4,2300,+58,351.000000 
 4,2300,+61,78.000000 
 4,2300,+64,101.000000 
 5,0200,+4,314.000000 
 5,0200,+7,320.000000 
 5,0200,+10,328.000000 
 5,0200,+13,331.000000 
 5,0200,+16,328.000000 
 5,0200,+19,322.000000 
 5,0200,+22,325.000000 
 5,0200,+25,334.000000 
 5,0200,+28,323.000000 
 5,0200,+31,325.000000 
 5,0200,+34,342.000000 
 5,0200,+37,329.000000 
 5,0200,+40,343.000000 
 5,0200,+43,25.000000 
 5,0200,+46,66.000000 
 5,0200,+49,178.000000 
 5,0200,+52,285.000000 
 5,0200,+55,351.000000 
 5,0200,+58,78.000000 
 5,0200,+61,101.000000 
 5,0500,+4,320.000000 
 5,0500,+7,328.000000 
 5,0500,+10,331.000000 
 5,0500,+13,328.000000 
 5,0500,+16,322.000000 
 5,0500,+19,325.000000 
 5,0500,+22,334.000000 
 5,0500,+25,323.000000 
 5,0500,+28,325.000000 
 5,0500,+31,342.000000 
 5,0500,+34,329.000000 
 5,0500,+37,343.000000 
 5,0500,+40,25.000000 
 5,0500,+43,66.000000 
 5,0500,+46,178.000000 
 5,0500,+49,285.000000 
 5,0500,+52,351.000000 
 5,0500,+55,78.000000 
 5,0500,+58,101.000000 
 5,0800,+4,332.000000 
 5,0800,+7,334.000000 
 5,0800,+10,330.000000 
 5,0800,+13,317.000000 
 5,0800,+16,335.000000 
 5,0800,+19,333.000000 
 5,0800,+22,327.000000 
 5,0800,+25,326.000000 
 5,0800,+28,336.000000 
 5,0800,+31,328.000000 
 5,0800,+34,2.000000 
 5,0800,+37,28.000000 
 5,0800,+40,34.000000 
 5,0800,+43,79.000000 
 5,0800,+46,297.000000 
 5,0800,+49,347.000000 
 5,0800,+52,45.000000 
 5,0800,+55,74.000000 
 5,1100,+4,334.000000 
 5,1100,+7,330.000000 
 5,1100,+10,317.000000 
 5,1100,+13,335.000000 
 5,1100,+16,333.000000 
 5,1100,+19,327.000000 
 5,1100,+22,326.000000 
 5,1100,+25,336.000000 
 5,1100,+28,328.000000 
 5,1100,+31,2.000000 
 5,1100,+34,28.000000 
 5,1100,+37,34.000000 
 5,1100,+40,79.000000 
 5,1100,+43,297.000000 
 5,1100,+46,347.000000 
 5,1100,+49,45.000000 
 5,1100,+52,74.000000 
 5,1400,+4,330.000000 
 5,1400,+7,317.000000 
 5,1400,+10,335.000000 
 5,1400,+13,333.000000 
 5,1400,+16,327.000000 
 5,1400,+19,326.000000 
