Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-31,0.058790672570466995,0.058986779585205124,0.05839844917468557,0.058790672570466995,320746,0.0,0.0
1962-02-01,0.05879067028958062,0.06055441105097016,0.05879067028958062,0.05957448482513428,1282984,0.0,0.0
1962-02-02,0.05957448482513428,0.06035830404384035,0.05957448482513428,0.05957448482513428,641492,0.0,0.0
1962-02-05,0.05957448482513428,0.060162192353558124,0.05957448482513428,0.05957448482513428,400933,0.0,0.0
1962-02-06,0.05957448730767931,0.0599667107045882,0.059182263910770416,0.059182263910770416,240560,0.0,0.0
1962-02-07,0.05957450828153476,0.06035832780885579,0.05957450828153476,0.05996673181653023,1403264,0.0,0.0
1962-02-08,0.06075053324632916,0.06212205554747244,0.06075053324632916,0.06153435260057449,2084849,0.0,0.0
1962-02-09,0.061730441205974734,0.062318143932770936,0.061730441205974734,0.06192592531442642,1042425,0.0,0.0
1962-02-12,0.061925925314426415,0.06212203228202294,0.061534329555226745,0.06192592531442642,641492,0.0,0.0
1962-02-13,0.061925925314426415,0.061925925314426415,0.06114210625373077,0.06192592531442642,641492,0.0,0.0
1962-02-14,0.06173039542158114,0.06173039542158114,0.061142060905694955,0.06114206090569496,200466,0.0,0.0
1962-02-15,0.061338240876380325,0.061730464324768655,0.061338240876380325,0.06153435260057449,481119,0.0,0.0
1962-02-16,0.06192594896917658,0.06368969473188787,0.06192594896917658,0.0627097636461258,3728673,0.0,0.0
1962-02-19,0.06270973161530166,0.06270973161530166,0.061730433255434036,0.061730433255434036,841958,0.0,0.0
1962-02-20,0.062122056852218985,0.062318168580532074,0.062122056852218985,0.062318168580532074,240560,0.0,0.0
1962-02-21,0.061925948506431495,0.061925948506431495,0.06153435260057449,0.06153435260057449,120280,0.0,0.0
1962-02-23,0.061534283916285744,0.06173039542158114,0.061142060905694955,0.06114206090569496,441026,0.0,0.0
1962-02-26,0.06035830404384035,0.06035830404384035,0.05879067028958062,0.05957448482513428,761772,0.0,0.0
1962-02-27,0.05957448730767931,0.06035830655904813,0.059182263910770416,0.059182263910770416,481119,0.0,0.0
1962-02-28,0.05918226123114683,0.05957448461029684,0.05859455838799476,0.058594558387994766,280653,0.0,0.0
1962-03-01,0.05879065012783247,0.060162171721458435,0.05879065012783247,0.060162171721458435,441026,0.0,0.0
1962-03-02,0.06016216111480232,0.060554379608557814,0.05977056547999382,0.05977056547999382,280653,0.0,0.0
1962-03-05,0.05996673181653023,0.06094603088552484,0.05996673181653023,0.05996673181653023,441026,0.0,0.0
