Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-06-17,49.654040644719046,51.48238710256723,49.654040644719046,50.03895568847656,955700,0.0,0
1999-06-18,49.46157816313961,49.94272191959039,48.88420565539869,49.89460754394531,613900,0.0,0
1999-06-21,51.3380493671774,53.839997415062335,51.2418205961049,53.503196716308594,1811000,0.0,0
1999-06-22,53.98433876037598,53.98433876037598,52.15599217134364,52.34844970703125,1165900,0.0,0
1999-06-23,51.6267302439763,51.91541652679443,49.94272692753718,50.03895568847656,1351700,0.0,0
1999-06-24,50.85689281203447,51.1936934266837,49.65403347400149,50.08706283569336,1408900,0.0,0
1999-06-25,50.4238747938624,51.43427686511346,50.32764602517182,51.00124740600586,1111500,0.0,0
1999-06-28,51.145573479021095,51.96351773973922,50.616315427968196,51.24180221557617,784600,0.0,0
1999-06-29,50.80878045902041,52.733355476407546,50.80878045902041,52.155982971191406,629800,0.0,0
1999-06-30,52.73334307819089,55.6202049255371,50.90499724153828,55.62020492553711,2127600,0.0,0
1999-07-01,54.94664040520879,54.994754801360465,53.69566610526533,54.51361083984375,813600,0.0,0
1999-07-02,54.32113124494511,54.80227501150795,53.64752997175713,54.60981750488281,536900,0.0,0
1999-07-06,53.888106650494514,54.802279888315404,53.31073407923922,54.27302169799805,747600,0.0,0
1999-07-07,53.551309305078846,53.88810999253217,52.34844970703125,52.34844970703125,648800,0.0,0
1999-07-08,52.34843722772421,53.022038442051546,51.722950385848826,51.77106475830078,424400,0.0,0
1999-07-09,51.91540787565664,52.492780345080064,51.77106475830078,51.77106475830078,312700,0.0,0
1999-07-12,52.34844825646995,53.070163995299964,52.25221949129262,52.63713455200195,547700,0.0,0
1999-07-13,52.54091412454679,52.877714856114395,52.05977022230735,52.252227783203125,969600,0.0,0
1999-07-14,51.86730732098084,52.1559936326004,51.819192935710916,52.05976486206055,888200,0.0,0
1999-07-15,52.34844931398056,52.34844931398056,51.96353424549541,52.30033493041992,864700,0.0,0
1999-07-16,52.15598496786491,52.92581500429096,52.15598496786491,52.39655685424805,476700,0.0,0
1999-07-19,52.5408898738995,54.46546459455516,52.5408898738995,53.45506286621094,646100,0.0,0
1999-07-20,53.21451328522568,54.22491543621098,52.25222552238254,52.44468307495117,886100,0.0,0
1999-07-21,52.34845656365101,52.396570953874956,51.6748551005158,52.252227783203125,626100,0.0,0
1999-07-22,52.44466100420271,52.540889739990234,51.193687438964844,51.193687438964844,579500,0.0,0
1999-07-23,51.097457997391864,51.097457997391864,49.26911204268293,49.31722640991211,767200,0.0,0
1999-07-26,49.46159123055077,49.846506337403305,48.64364662848914,48.6917610168457,749500,0.0,0
1999-07-27,49.461578747698375,50.61632377682752,48.739863104492656,50.423866271972656,592200,0.0,0
1999-07-28,50.231404790815134,51.09746349410505,49.269117342715234,50.85689163208008,584800,0.0,0
1999-07-29,50.42387073223407,50.42387073223407,49.654040644719046,50.03895568847656,646000,0.0,0
1999-07-30,50.03896285076531,50.03896285076531,48.98044632892219,49.50970458984375,629600,0.0,0
1999-08-02,49.46158454857063,49.702156457853555,48.018153092873035,48.35495376586914,566400,0.0,0
1999-08-03,48.35495253873631,48.35495253873631,46.767177977762884,46.81529235839844,837700,0.0,0
1999-08-04,46.62282193899155,47.34453744888306,46.18979263305664,46.18979263305664,1281600,0.0,0
1999-08-05,46.04544457302818,46.189787659464,44.50578498437938,45.6124153137207,1539900,0.0,0
1999-08-06,45.37184663984511,45.37184663984511,43.110471462673615,43.30292892456055,1308500,0.0,0
1999-08-09,43.49540664314022,44.2652368492135,42.966148376464844,42.966148376464844,1347500,0.0,0
1999-08-10,43.39624455100612,44.11951529352289,42.57653770948711,43.97486114501953,1817400,0.12,0
1999-08-11,44.64989872288898,47.494762680394864,44.31237249064252,47.4465446472168,1369200,0.0,0
1999-08-12,47.39834161791816,47.97695819921523,46.723288939738254,46.819725036621094,832800,0.0,0
1999-08-13,48.169842423542896,48.796677209835245,47.88053406063873,48.70024108886719,557400,0.0,0
1999-08-16,48.60378318468098,48.60378318468098,46.964369862975474,48.507347106933594,762600,0.0,0
1999-08-17,48.79666246686663,49.76102338518415,48.31448200770787,48.603790283203125,936900,0.0,0
1999-08-18,48.60380102710475,48.60380102710475,47.109041273294984,48.073402404785156,819300,0.0,0
1999-08-19,47.54300718355905,48.218060023893564,46.91617240324844,47.494789123535156,624600,0.0,0
1999-08-20,47.68765795218909,48.555582970530246,47.54300378246556,48.073402404785156,439600,0.0,0
1999-08-23,48.45914098743371,49.230629799173954,48.31448683523242,49.085975646972656,837200,0.0,0
1999-08-24,49.03777754083643,50.146793158770784,48.45916069669676,48.941341400146484,894200,0.0,0
1999-08-25,48.70024088770151,49.61638403311372,48.07340610399842,49.37529373168945,449900,0.0,0
1999-08-26,49.37527623879482,50.05032884362209,48.41091537475586,48.41091537475586,378400,0.0,0
1999-08-27,48.60380450408471,48.60380450408471,47.446571063511264,47.494789123535156,265300,0.0,0
1999-08-30,47.63942624444831,47.63942624444831,45.7589225769043,45.7589225769043,438100,0.0,0
1999-08-31,45.903585946173756,46.67507478560525,45.27675126413567,46.144676208496094,496600,0.0,0
1999-09-01,46.72329442711074,46.81973053531943,46.1446777778586,46.53042221069336,560100,0.0,0
1999-09-02,45.90358463721939,46.62685540356213,45.42140412632423,45.71071243286133,727600,0.0,0
1999-09-03,46.867954790474165,48.70024108886719,46.867954790474165,48.70024108886719,754900,0.0,0
1999-09-07,48.60380401611329,49.71281938552857,48.16984148025513,48.21805953979492,813600,0.0,0
1999-09-08,48.16983358057348,49.08597656158538,47.92874332241245,48.26626968383789,732100,0.0,0
1999-09-09,48.218070736780824,48.266288807517604,47.06083703909808,47.63945388793945,448800,0.0,0
1999-09-10,48.12162073370606,48.67612838745117,47.54300405153725,48.67612838745117,636300,0.0,0
1999-09-13,47.9769671419017,48.45914771619217,47.83231296961456,47.928749084472656,250700,0.0,0
1999-09-14,47.350133482280526,47.350133482280526,45.324975023771586,45.80715560913086,1160600,0.0,0
1999-09-15,46.38577730888211,46.38577730888211,44.794581205770776,44.98745346069336,970200,0.0,0
1999-09-16,45.18032479002055,45.61428735470591,44.312399660649824,44.505271911621094,753200,0.0,0
1999-09-17,45.228535845674166,46.33755111694336,45.13209973512902,46.33755111694336,1116700,0.0,0
1999-09-20,46.33752919420783,46.867927551269524,45.90356690206645,46.86792755126953,721800,0.0,0
1999-09-21,46.72328425965904,47.63942708827981,45.03565273325237,45.6142692565918,2369100,0.0,0
1999-09-22,46.24111322525444,47.83230898795871,45.56606047744051,47.301910400390625,1534700,0.0,0
1999-09-23,47.63944292215502,48.02518739925749,46.86795396795008,46.91617202758789,889800,0.0,0
1999-09-24,47.1090241440851,47.97694884684204,46.96437002695894,47.78407669067383,831400,0.0,0
1999-09-27,47.832315543702414,48.31449614394135,47.25369882341569,47.494789123535156,624700,0.0,0
1999-09-28,47.3019062639719,48.025177001953125,47.10903406717691,48.025177001953125,819900,0.0,0
1999-09-29,48.12160899413566,48.41091726464148,47.15724809244958,47.398338317871094,800900,0.0,0
1999-09-30,47.78408073597267,48.218043124089476,47.06081008911133,47.06081008911133,1113400,0.0,0
1999-10-01,47.06081421800752,47.25368640742559,44.98743818176334,45.66249084472656,793300,0.0,0
1999-10-04,45.90357051335328,47.59120178222656,45.90357051335328,47.59120178222656,739400,0.0,0
1999-10-05,47.92874090355563,48.796665789133094,47.350124313170646,48.025177001953125,1040500,0.0,0
1999-10-06,47.928751923143864,49.37529373168945,47.6876616217196,49.37529373168945,944200,0.0,0
1999-10-07,49.375282053659745,49.471718151420795,48.74844741821289,48.74844741821289,366300,0.0,0
1999-10-08,48.218041920592015,49.327056884765625,47.73586150138609,49.327056884765625,488800,0.0,0
1999-10-11,49.18241528931263,49.32706945192825,48.9895430724918,49.13419723510742,229300,0.0,0
1999-10-12,49.1341813436923,49.1823993823024,48.410910764540795,48.555564880371094,644200,0.0,0
1999-10-13,48.121607037841294,48.31447921033765,46.81971987349088,47.06081008911133,393000,0.0,0
1999-10-14,46.67505781112179,48.26625296377367,45.42138890297183,47.83229064941406,1016000,0.0,0
1999-10-15,46.67507506813464,46.77151117364732,44.939225168906496,46.096458435058594,1088000,0.0,0
1999-10-18,46.482201250293585,46.482201250293585,44.69813335998148,45.71071243286133,732700,0.0,0
1999-10-19,45.90359850897305,47.060832084829514,45.90359850897305,46.578651428222656,1082700,0.0,0
1999-10-20,46.67509247320384,48.12163459530726,46.67509247320384,47.63945388793945,499800,0.0,0
1999-10-21,47.345691137053485,47.78049850463867,47.24906727759011,47.78049850463867,281900,0.12,0
1999-10-22,48.505180125928106,50.82415288095256,48.45686819353177,50.63090515136719,1644700,0.0,0
1999-10-25,50.19610316678882,50.24441510438919,48.89168085157871,49.4714241027832,665000,0.0,0
1999-10-26,49.084920607394224,49.90622341283291,47.78049850463867,47.78049850463867,650200,0.0,0
1999-10-27,47.97375731977444,50.051170778737486,47.925445378868325,49.76129913330078,1412500,0.0,0
1999-10-28,49.857903798421226,56.04182985093858,49.857903798421226,55.65533447265625,3983400,0.0,0
1999-10-29,55.703657580093605,57.00807974372112,54.254299620507474,54.882354736328125,2490500,0.0,0
1999-11-01,54.49588161159206,54.88237722585867,53.57795452770886,53.62626647949219,949300,0.0,0
1999-11-02,53.481296077851326,55.46208482147545,53.43298415727513,53.91610336303711,543000,0.0,0
1999-11-03,53.964449688304555,54.012761639681734,52.804962855252356,53.14314651489258,924000,0.0,0
1999-11-04,53.867802509437055,54.68910532796659,53.67455478743011,54.20598602294922,570400,0.0,0
1999-11-05,55.65535171159351,57.44289338983046,55.07560846459775,56.959774017333984,1304900,0.0,0
1999-11-08,56.81485176086426,56.81485176086426,56.041860580444336,56.4283561706543,651600,0.0,0
1999-11-09,56.81483761994735,56.86314955669901,55.462103390900985,55.5587272644043,695600,0.0,0
1999-11-10,54.882350043355636,56.2350840232975,54.59247847622524,55.60702896118164,678700,0.0,0
1999-11-11,55.655348365569054,56.814834789851744,55.31716482515327,56.669898986816406,574300,0.0,0
1999-11-12,57.15297085812847,61.69428891448018,57.008035175478945,61.64597702026367,2227700,0.0,0
1999-11-15,60.873063160822944,61.79099030372424,59.71357624347393,60.29331970214844,997100,0.0,0
1999-11-16,60.58318760134139,64.15827203714623,60.58318760134139,64.01333618164062,1505100,0.0,0
1999-11-17,62.70889711342547,62.902144870323546,60.728107605220195,61.5010986328125,1245400,0.0,0
1999-11-18,61.694316584526895,62.708866818101725,61.25950934156625,61.984188079833984,1111500,0.0,0
1999-11-19,61.83928560520914,62.51565279151612,61.549413953934724,61.79097366333008,329600,0.0,0
1999-11-22,61.45277386833639,62.03251701803769,60.679783002068014,61.59770965576172,329900,0.0,0
1999-11-23,61.79095797216777,62.322389197886174,59.906792717347955,60.100040435791016,656300,0.0,0
1999-11-24,59.90681504507699,60.100062835544975,59.32707167367302,59.616943359375,515700,0.0,0
1999-11-26,59.66525888096062,60.100066435558716,59.230451326362534,59.76188278198242,107600,0.0,0
1999-11-29,59.713574620701316,59.713574620701316,57.491224756176834,57.58784866333008,517900,0.0,0
1999-11-30,57.78106274342973,59.61691590751864,57.58781504194669,58.0709342956543,925000,0.0,0
1999-12-01,57.78106804613797,58.892242431640625,57.78106804613797,58.892242431640625,500000,0.0,0
1999-12-02,58.94057187726421,60.00343464882143,58.94057187726421,59.90681076049805,453600,0.0,0
1999-12-03,60.67980505901835,62.37072319362475,60.58318116561227,61.1146125793457,669500,0.0,0
1999-12-06,61.21121948415583,61.30784335074487,59.182118285786025,59.520301818847656,295100,0.0,0
1999-12-07,59.71353478155541,62.56393814086914,59.71353478155541,62.56393814086914,883100,0.0,0
1999-12-08,63.24033314585686,63.24033314585686,61.83928680419922,61.83928680419922,732200,0.0,0
1999-12-09,62.419030117988584,63.57851674556732,61.646039032936095,61.83928680419922,1205700,0.0,0
1999-12-10,61.839260938690934,63.72342592041667,61.501077480432464,63.3852424621582,1386300,0.0,0
1999-12-13,62.99876723394808,64.10994180939349,62.66058366750818,63.43357467651367,938500,0.0,0
1999-12-14,62.95042487553188,62.95042487553188,60.14833382197789,60.87301254272461,1105800,0.0,0
1999-12-15,60.10005004306556,61.45278428840787,60.10005004306556,61.40447235107422,1073800,0.0,0
1999-12-16,61.21122299837706,61.45278267871794,60.10004846880905,60.72810363769531,307900,0.0,0
1999-12-17,60.77639018272109,62.27405957514108,60.63145443506754,61.984188079833984,542100,0.0,0
1999-12-20,63.3852209193106,64.64133048021156,62.41898279554062,63.288597106933594,1302600,0.0,0
1999-12-21,62.32237853414764,64.15823154523106,61.45276394995023,62.56393814086914,1189900,0.0,0
1999-12-22,62.612260167738974,62.90213174258962,61.16290229348575,61.59770965576172,526800,0.0,0
1999-12-23,62.612266540527344,63.72344102388547,62.3707068702321,62.612266540527344,532000,0.0,0
1999-12-27,62.225776224942585,64.06162987133064,62.225776224942585,63.43357467651367,389200,0.0,0
1999-12-28,63.433570328880755,66.23566254447488,63.433570328880755,65.70423126220703,821800,0.0,0
1999-12-29,66.09069403735074,68.16810620372945,65.99407021565871,68.0231704711914,794800,0.0,0
1999-12-30,69.56918365995763,71.79153258242849,69.23100012827727,71.26010131835938,969200,0.0,0
1999-12-31,71.0668540757147,73.28920301350048,70.72867054170382,72.80608367919922,383500,0.0,0
2000-01-03,72.8061009573751,72.9510367920613,67.82997063314839,68.26477813720703,1822600,0.0,0
2000-01-04,67.25024773635172,67.63674341299743,63.57853880821759,63.96503448486328,1647700,0.0,0
2000-01-05,62.5156201575713,63.2886108241255,60.58314349118579,60.96963882446289,1516600,0.0,0
2000-01-06,60.776403299580956,65.31772437284059,60.776403299580956,63.578495025634766,1845100,0.0,0
2000-01-07,64.20652547485444,64.30314929046746,61.74261817672233,63.820030212402344,1127400,0.0,0
2000-01-10,63.192021145290795,65.60761828387226,63.192021145290795,65.22112274169922,803100,0.0,0
2000-01-11,65.70426969029224,66.67050895044359,65.36608594923926,65.55933380126953,808600,0.0,0
2000-01-12,65.0278749706127,66.47723325376157,64.44813165735316,65.22112274169922,916100,0.0,0
2000-01-13,65.8008530972272,65.8008530972272,64.06162349994366,65.31773376464844,711000,0.0,0
2000-01-14,66.09071592901745,67.20189024653747,65.94578014847136,66.18733978271484,607000,0.0,0
2000-01-18,65.70426666479317,68.89285607646696,65.51101882166142,67.15362548828125,1095700,0.0,0
2000-01-19,67.15358916561064,69.08606655167138,67.0569652963076,67.68502044677734,636900,0.0,0
2000-01-20,67.34251837713069,68.06819206653941,65.69765801447087,66.52008819580078,621800,0.12,0
2000-01-21,66.71357918481249,66.71357918481249,65.45574520453322,66.32655334472656,542500,0.0,0
2000-01-24,67.7295054864446,67.7295054864446,63.08519653880268,63.278709411621094,712900,0.0,0
2000-01-25,64.24631142083294,65.16549810531775,63.76252895531462,64.9236068725586,749300,0.0,0
2000-01-26,65.11711733334464,68.50359446063597,65.11711733334464,68.3100814819336,1086600,0.0,0
2000-01-27,68.31009359038278,69.61630642815922,67.82631105787299,68.89063262939453,702000,0.0,0
2000-01-28,67.72950928786706,68.1165350552263,66.66518842762915,67.34248352050781,776800,0.0,0
2000-01-31,67.34247459005691,70.97084067788326,66.9554488740221,70.9224624633789,801800,0.0,0
2000-02-01,71.89004365058794,71.98680010233839,70.0516710673293,70.63220977783203,813100,0.0,0
2000-02-02,70.24521483119132,70.9225102909962,68.60035442880806,70.53548431396484,964700,0.0,0
2000-02-03,69.66467660482247,70.53548506238276,65.64928205051675,66.08468627929688,2213300,0.0,0
2000-02-04,67.5360680611811,67.5360680611811,64.68174999842344,65.55255889892578,1451700,0.0,0
2000-02-07,65.35899602150431,66.95547778960915,64.63332249054756,66.37493896484375,929800,0.0,0
2000-02-08,66.37493975390761,69.37439038418624,66.37493975390761,69.22925567626953,1024800,0.0,0
2000-02-09,69.22922721994713,69.22922721994713,67.00382927996282,67.14896392822266,397100,0.0,0
2000-02-10,67.14897202000473,67.5843760172526,66.18140758167613,67.05221557617188,503200,0.0,0
2000-02-11,66.90710978571013,68.69710476913116,65.79441020142139,65.89116668701172,856900,0.0,0
2000-02-14,65.89117624580516,67.24576724057941,65.50415024729823,66.95549774169922,627800,0.0,0
2000-02-15,66.76198474244575,67.05225424132595,65.89117624580516,66.95549774169922,542400,0.0,0
2000-02-16,67.14897830736035,67.58438234537637,64.1495282676944,64.19790649414062,720300,0.0,0
2000-02-17,65.60084279378256,65.60084279378256,62.79490704006619,63.5689582824707,895500,0.0,0
2000-02-18,65.40735856931705,65.40735856931705,62.50466514168464,62.553043365478516,925500,0.0,0
2000-02-22,62.89171094638635,63.76251925179785,62.4563067936806,63.133602142333984,720100,0.0,0
2000-02-23,62.940084251648486,67.34250367278608,62.74657131006002,66.37493896484375,702900,0.0,0
2000-02-24,66.42333189513394,69.61629613772595,66.18144066463454,69.37440490722656,1199800,0.0,0
2000-02-25,69.22924876814129,72.76085964170825,68.31006237639099,69.08411407470703,1333000,0.0,0
2000-02-28,69.08410347591746,69.08410347591746,67.34248742190275,68.11653900146484,518000,0.0,0
2000-02-29,68.69709819072003,71.59979248046875,68.11655933277028,71.59979248046875,1381200,0.0,0
2000-03-01,72.18034509744368,74.88952695096702,72.13196685005933,73.34142303466797,1488900,0.0,0
2000-03-02,73.72845046798905,75.76033689820922,72.85764199789469,74.50250244140625,1819200,0.0,0
2000-03-03,75.08298816215702,79.34027099609375,74.88947530606899,79.34027099609375,2295900,0.0,0
2000-03-06,79.53381744991806,81.46894682826156,79.24354804316653,80.25949096679688,1421000,0.0,0
2000-03-07,80.4530371210146,81.85600649955303,79.29195901463797,81.1787109375,1041300,0.0,0
2000-03-08,81.27545743375212,81.56572692458694,77.16330631359205,78.7597885131836,1041100,0.0,0
2000-03-09,78.7597817112336,83.74274087355366,78.37275575687865,82.96868896484375,535500,0.0,0
2000-03-10,84.95218435852459,92.11216345024535,83.98461961640017,86.88731384277344,2034400,0.0,0
2000-03-13,83.21053786833991,89.40294998877451,82.43648635328559,85.4359359741211,1454200,0.0,0
2000-03-14,86.30676586360522,87.37108696730438,80.11435216935551,81.08191680908203,653100,0.0,0
