Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,1.8374388081135724,1.8374388081135724,1.8167935609817505,1.8167935609817505,390000,0.0,0.0
1962-01-03,1.8167932155985604,1.8326741456985474,1.8167932155985604,1.8326741456985474,292500,0.0,0.0
1962-01-04,1.832673585944833,1.832673585944833,1.8136163393372846,1.8144104480743408,262500,0.0,0.0
1962-01-05,1.8120298178959844,1.8120298178959844,1.7755031717756244,1.778679609298706,367500,0.0,0.0
1962-01-08,1.7770906355015375,1.7770906355015375,1.7310356051013496,1.7453285455703735,547500,0.0,0.0
1962-01-09,1.7532683737741737,1.7882067724533464,1.7532683737741737,1.7659730911254883,495000,0.0,0.0
1962-01-10,1.7691489458084106,1.7770893489524404,1.7691489458084106,1.7691489458084106,300000,0.0,0.0
1962-01-11,1.7739148266163411,1.7882077693939207,1.7739148266163411,1.788207769393921,322500,0.0,0.0
1962-01-12,1.7913838624954221,1.8040885869097654,1.7913838624954221,1.7913838624954224,442500,0.0,0.0
1962-01-15,1.7977365155958136,1.8032948258002914,1.7977365155958136,1.7993243932724,255000,0.0,0.0
1962-01-16,1.797735897967156,1.797735897967156,1.780266523361206,1.780266523361206,255000,0.0,0.0
1962-01-17,1.7723272879545038,1.7723272879545038,1.7469174885706902,1.7516818046569824,420000,0.0,0.0
1962-01-18,1.756445050239563,1.7739144257560535,1.756445050239563,1.756445050239563,375000,0.0,0.0
1962-01-19,1.7564458913243677,1.7612102067883668,1.7373886294683714,1.758034110069275,405000,0.0,0.0
1962-01-22,1.7580333915138773,1.7755024274849032,1.753269077997181,1.7548571825027466,277500,0.0,0.0
1962-01-23,1.7540620866320067,1.756444185255106,1.734210848275701,1.73738694190979,375000,0.0,0.0
1962-01-24,1.7373879055587316,1.7469165325164795,1.7286535012327526,1.7469165325164795,412500,0.0,0.0
1962-01-25,1.7469165123472008,1.7612094526188014,1.7246830497024888,1.7278592586517334,322500,0.0,0.0
1962-01-26,1.7278589582945845,1.7342114886789926,1.7183303331032305,1.7191245555877686,247500,0.0,0.0
1962-01-29,1.7191244438237843,1.7310351677435487,1.6897442340850832,1.689744234085083,585000,0.0,0.0
1962-01-30,1.6897449935803315,1.699273736025289,1.6683056354522705,1.6683056354522705,742500,0.0,0.0
1962-01-31,1.6849795064066733,1.7215061187744143,1.6849795064066733,1.721506118774414,765000,0.0,0.0
1962-02-01,1.7389761384149425,1.7659738014343869,1.7389761384149425,1.761209487915039,645000,0.0,0.0
1962-02-02,1.7612093865075573,1.7723262310028076,1.7532689780227002,1.7723262310028076,510000,0.0,0.0
1962-02-05,1.7723265684990845,1.7723265684990845,1.740564474150591,1.7500931024551392,315000,0.0,0.0
1962-02-06,1.7503313007179284,1.7535079424541042,1.7439780172455768,1.7519195079803467,262500,0.001,0.0
1962-02-07,1.7535067796707156,1.7630366985597743,1.7535067796707156,1.7535067796707153,255000,0.0,0.0
1962-02-08,1.7535070426102561,1.7630369629283327,1.7535070426102561,1.755095362663269,22500,0.0,0.0
1962-02-09,1.7550962675355957,1.7678028345108032,1.747154549570421,1.7678028345108032,435000,0.0,0.0
1962-02-12,1.7678014345629252,1.7820963110897114,1.766213001343258,1.7693898677825928,285000,0.0,0.0
1962-02-13,1.7693917076053378,1.7709798016595737,1.7408018112182617,1.7408018112182617,262500,0.0,0.0
1962-02-14,1.740801161766365,1.7471543308529776,1.7344478790740967,1.7376244068145752,210000,0.0,0.0
1962-02-15,1.737623718250577,1.737623718250577,1.729682231637851,1.7312705516815186,232500,0.0,0.0
1962-02-16,1.7312716009974913,1.737624771417178,1.72968327999115,1.72968327999115,225000,0.0,0.0
1962-02-19,1.729682415973294,1.7376239034323588,1.7090341395994835,1.7122108936309814,285000,0.0,0.0
1962-02-20,1.7130053043365479,1.7217411238781744,1.7130053043365479,1.7130053043365479,292500,0.0,0.0
1962-02-21,1.713004990188924,1.7249173349362337,1.7002984285354614,1.7002984285354614,367500,0.0,0.0
1962-02-23,1.7026808694974298,1.7090340363597734,1.7026808694974298,1.7058573961257935,292500,0.0,0.0
1962-02-26,1.7058575372420057,1.707445971096014,1.6963276157517082,1.6995042562484741,300000,0.0,0.0
1962-02-27,1.6995039534414673,1.713798833129941,1.6899739200435462,1.7026807069778442,352500,0.0,0.0
1962-02-28,1.7026808694974298,1.7058573961257937,1.6931509487954903,1.7058573961257935,270000,0.0,0.0
1962-03-01,1.7122111110650051,1.726505994796753,1.7122111110650051,1.726505994796753,285000,0.0,0.0
1962-03-02,1.7408018112182617,1.7503317388120545,1.7408018112182617,1.7408018112182617,247500,0.0,0.0
